Arnab,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation
0,2,48,12500,97
0,2,48,12500,96
0,2,48,12500,9687
0,2,48,12500,95
0,2,48,12501,95
0,2,48,12503,95
0,2,48,12403,95
0,14,3,750,19
0,14,3,710,19
0,14,3,750,19
0,14,3,760,19
0,14,3,750,19
0,14,3,3000,19
0,16,12,3000,50
0,11,5,1250,37
0,976,600,7,999
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
0,14,3,750,19
